STATE,NAME,row,functioning_counties,functioning_mcds,functioning_places,functioning_aianas,county_equivalents,census_county_divisions,nonfunctioning_cdps_incorporated_places,nonfunctioning_aianas,census_tracts,block_groups,blocks,all_counties,all_county_divisions,all_places,all_aianas
0,United States,Number,3068,17870,19483,337,75,17668,12134,367,84414,239780,8132968,3143,35538,31617,704
0,United States,Average per State,64,851,398,9,8,353,238,26,1655,4702,159470,62,697,620,17
0,United States,Number with 0 Population,0,3,6,23,0,82,42,19,566,1343,2363026,0,85,48,42
0,United States,Median Population (Non-0),25505,829,1129,537,46553,2671,684,362,3775,1264,28,25698,1418,933,324
0,United States,Mean Population (Non-0),103487,4117,10546,3438,186006,14664,3668,11603,3953,1390,57,105456,9327,7899,7269
0,United States,1st Decile (>0) Lowest Population,64,1,1,2,2365,1,1,1,1,1,1,64,1,1,1
0,United States,1st Decile (>0) Median Population,2573,36,79,11,4857,91,43,2,1601,617,3,2616.5,48,61,5
0,United States,1st Decile (>0) Highest Population,4826,67,134,28,5737,205,76,16,1989,713,5,4919,106,105,24
0,United States,2nd Decile Highest Population,8673,173,263,92,8180,523,152,63,2532,859,9,8666,269,208,73
0,United States,3rd Decile Highest Population,13127,310,443,154,15425,997,253,111,2973,992,13,13232,521,358,133
0,United States,4th Decile Highest Population,18583,523,714,233,24146,1721,410,205,3379,1125,19,18662,892,582,221
0,United States,5th Decile Highest Population,25493,828,1128,535,46553,2670,683,358,3775,1263,27,25698,1426,936,411
0,United States,6th Decile Highest Population,36649,1241,1890,819,94324,4008,1150,509,4188,1417,38,36787,2267,1573,655
0,United States,7th Decile Highest Population,52552,1874,3435,1562,159467,6266,2025,809,4666,1600,52,53404,3656,2763,1145
0,United States,8th Decile Highest Population,93076,3211,7185,3494,238005,10920,3703,1916,5261,1841,74,96016,6524,5478,3227
0,United States,9th Decile Highest Population,211668,7254,18856,7819,689545,24847,8566,6901,6127,2221,123,218245,15345,13927,7639
